GoodEvent	故事中是否發生了對這個角色本人有利、符合其利益或目標的事情？
BadEvent	故事中是否發生了對這個角色本人不利、損害其利益或妨礙其目標的事情？
GoodEventForGoodOther	故事中是否發生了對這個角色所喜歡、關心或友善看待的人有利的事情？
GoodEventForBadOther	故事中是否發生了對這個角色所討厭、敵視或反感的人有利的事情？
BadEventForGoodOther	故事中是否發生了對這個角色所喜歡、關心或友善看待的人不利的事情？
BadEventForBadOther	故事中是否發生了對這個角色所討厭、敵視或反感的人不利的事情？
GoodLikelyFutureEvent	故事中是否存在一件尚未發生、對這個角色有利，而且角色認為很可能發生的未來事情？
GoodUnlikelyFutureEvent	故事中是否存在一件尚未發生、對這個角色有利，但角色認為不太可能發生的未來事情？
BadLikelyFutureEvent	故事中是否存在一件尚未發生、對這個角色不利，而且角色認為很可能發生的未來事情？
BadUnlikelyFutureEvent	故事中是否存在一件尚未發生、對這個角色不利，但角色認為不太可能發生的未來事情？
EventConfirmed	故事中是否有一件這個角色先前已經預期可能發生的事情，現在真的發生了？
EventDisconfirmed	故事中是否有一件這個角色先前已經預期可能發生的事情，現在已確定沒有發生或結果與預期相反？
GoodActSelf	故事中這個角色本人是否做了某個依照其自身價值標準來看值得肯定、稱許或認同的行為？
GoodActOther	故事中是否有其他人做了某個依照這個角色的價值標準來看值得肯定、稱許或認同的行為？
BadActSelf	故事中這個角色本人是否做了某個依照其自身價值標準來看錯誤、應受責備或不被認同的行為？
BadActOther	故事中是否有其他人做了某個依照這個角色的價值標準來看錯誤、應受責備或不被認同的行為？
NiceThing	故事中是否出現了某個人物、物品或事物本身，是這個角色覺得喜歡、欣賞或具有吸引力的？
NastyThing	故事中是否出現了某個人物、物品或事物本身，是這個角色覺得討厭、反感或令人排斥的？
